id,latitude,longitude,neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms_clean,price,price_per_person,minimum_nights,availability_365,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating
557764,38.7162,-9.13928,Arroios,Entire home/apt,2,1.0,1.0,1.0,117.0,58.5,3,239,1.0,1.0,1.0,0,310,1.98,4.82
564050,38.71315,-9.12436,Santa Maria Maior,Entire home/apt,4,1.0,1.0,1.0,114.0,28.5,2,217,1.0,1.0,1.0,1,474,3.03,4.81
568655,38.71255,-9.12677,Santa Maria Maior,Entire home/apt,3,2.0,2.0,1.0,107.0,35.666666666666664,2,295,1.0,1.0,1.0,0,326,2.09,4.61
571283,38.70650100708008,-9.445342063903809,Cascais e Estoril,Entire home/apt,4,2.0,3.0,1.0,113.0,28.25,5,296,0.0,1.0,1.0,0,12,0.08,4.33
579469,38.73708,-9.14621,Avenidas Novas,Entire home/apt,4,1.0,2.0,2.0,73.0,18.25,2,170,1.0,1.0,1.0,0,273,1.86,4.87
585175,38.71176,-9.147,Misericrdia,Entire home/apt,2,1.0,1.0,1.0,85.0,42.5,2,257,1.0,1.0,1.0,0,267,1.72,4.55
594877,38.72344,-9.14339,Santo Antnio,Entire home/apt,2,1.0,1.0,1.0,91.0,45.5,5,295,0.0,1.0,1.0,0,198,1.87,4.92
596705,38.71212,-9.12934,Santa Maria Maior,Entire home/apt,2,1.0,1.0,1.0,82.0,41.0,6,91,1.0,1.0,1.0,1,554,3.53,4.71
600565,38.7127571105957,-9.14491367340088,Misericrdia,Entire home/apt,2,1.0,2.0,1.0,137.0,68.5,2,340,1.0,1.0,1.0,1,159,1.01,4.76
601241,38.69962,-9.42424,Cascais e Estoril,Entire home/apt,4,2.0,3.0,1.0,101.0,25.25,3,79,0.0,1.0,1.0,1,160,1.08,4.89
605995,38.76198,-9.23031,Mina de gua,Entire home/apt,2,1.0,1.0,1.0,60.0,30.0,5,239,1.0,1.0,1.0,0,12,0.08,4.42
607083,38.71456,-9.14727,Misericrdia,Entire home/apt,5,2.0,5.0,1.5,100.0,20.0,2,299,0.0,1.0,1.0,1,167,1.07,4.49
607621,38.71509,-9.14644,Misericrdia,Entire home/apt,11,4.0,11.0,3.0,279.0,25.363636363636363,3,312,0.0,1.0,1.0,1,89,0.57,4.65
608322,38.71104,-9.14523,Misericrdia,Entire home/apt,2,1.0,1.0,1.0,128.0,64.0,4,250,1.0,1.0,1.0,0,246,1.57,4.87
612831,38.71386,-9.13664,Santa Maria Maior,Entire home/apt,6,2.0,4.0,2.0,120.0,20.0,2,280,0.0,1.0,1.0,0,483,3.08,4.59
619755,38.70047,-9.43292,Cascais e Estoril,Entire home/apt,2,1.0,2.0,1.0,90.0,45.0,5,316,0.0,1.0,1.0,0,86,0.55,4.64
